sheet_label,normalized_label,matched_folder,video,file_size
12.17 074730-090530,12.17 074730-090530,12.17 074730-090530,/data/home/sim6g/autodri/data/natural_driving/p7/剪辑好的视频/第一批/12.17 074730-090530/12月23日(1).mp4,21830990760
12.17 175310-192310,12.17 175310-192310,12.17 175310-192310,/data/home/sim6g/autodri/data/natural_driving/p7/剪辑好的视频/第一批/12.17 175310-192310/12月23日.mp4,25277080818
12.18 075340-090840,12.18 075340-090840,12.18 075340-090840,/data/home/sim6g/autodri/data/natural_driving/p7/剪辑好的视频/第一批/12.18 075340-090840/12月23日(1).mp4,21232873302
12.18 175530-192230,12.18 175530-192230,12.18 175530-192230,/data/home/sim6g/autodri/data/natural_driving/p7/剪辑好的视频/第一批/12.18 175530-192230/12月23日(1).mp4,24453190887
12.18 192910-195610,12.18 192910-195610,12.18 192910-195610,/data/home/sim6g/autodri/data/natural_driving/p7/剪辑好的视频/第二批/12.18 192910-195610/12月23日.mp4,8144230997
12.19 080900-093300,12.19 080900-093300,12.19 080900-093300,/data/home/sim6g/autodri/data/natural_driving/p7/剪辑好的视频/第二批/12.19 080900-093300/12月23日(1).mp4,23318304107
12.19 213940-223330,12.19 213940-223330,12.19 213940-223330,/data/home/sim6g/autodri/data/natural_driving/p7/剪辑好的视频/第二批/12.19 213940-223330/12月23日.mp4,15410142645
12.20 074500-090900,12.20 074500-090900,12.20 074500-090900,/data/home/sim6g/autodri/data/natural_driving/p7/剪辑好的视频/第二批/12.20 074500-090900/12月23日(1).mp4,23615974498
12.20 174800-194450,12.20 174800-194450,12.20 174800-194450,/data/home/sim6g/autodri/data/natural_driving/p7/剪辑好的视频/第二批/12.20 174800-194450/12月23日.mp4,32594493022
